func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00113735	0.071218	0.569744
mscal(CRS)	float	2000	2000	0.00137844	0.117524	0.940191
mscal(CRS)	float	4000	4000	0.00180664	0.179338	1.43471
mscal(CRS)	float	8000	8000	0.00265383	0.244176	1.95341
mscal(CRS)	float	16000	16000	0.00392618	0.330092	2.64074
mscal(CRS)	float	32000	32000	0.00674134	0.384493	3.07595
mscal(CRS)	float	64000	64000	0.0115412	0.449175	3.5934
mscal(CRS)	double	1000	1000	0.000982105	0.0824759	1.31961
mscal(CRS)	double	2000	2000	0.00121438	0.133401	2.13441
mscal(CRS)	double	4000	4000	0.00168596	0.192175	3.07481
mscal(CRS)	double	8000	8000	0.00255943	0.253181	4.0509
mscal(CRS)	double	16000	16000	0.00428926	0.30215	4.8344
mscal(CRS)	double	32000	32000	0.00768345	0.337349	5.39758
mscal(CRS)	double	64000	64000	0.0146643	0.353511	5.65617
