func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.000640375	0.126488	1.01191
mscal(CRS)	float	2000	2000	2.67262e-05	6.06147	48.4917
mscal(CRS)	float	4000	4000	3.66985e-05	8.8287	70.6296
mscal(CRS)	float	8000	8000	6.53583e-05	9.91458	79.3166
mscal(CRS)	float	16000	16000	0.000132143	9.80759	78.4608
mscal(CRS)	float	32000	32000	0.000230717	11.2345	89.8764
mscal(CRS)	float	64000	64000	0.00107079	4.84127	38.7302
mscal(CRS)	double	1000	1000	2.95962e-05	2.73684	43.7894
mscal(CRS)	double	2000	2000	3.96119e-05	4.08968	65.4349
mscal(CRS)	double	4000	4000	6.75644e-05	4.79542	76.7268
mscal(CRS)	double	8000	8000	0.000136431	4.74964	75.9943
mscal(CRS)	double	16000	16000	0.000238878	5.42536	86.8058
mscal(CRS)	double	32000	32000	0.0011638	2.22719	35.635
mscal(CRS)	double	64000	64000	0.00868048	0.597202	9.55523
