func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00113442	0.0714021	0.571216
mscal(CRS)	float	2000	2000	0.00137173	0.118099	0.944794
mscal(CRS)	float	4000	4000	0.00180455	0.179546	1.43637
mscal(CRS)	float	8000	8000	0.00265154	0.244386	1.95509
mscal(CRS)	float	16000	16000	0.00439815	0.294669	2.35736
mscal(CRS)	float	32000	32000	0.00676443	0.383181	3.06545
mscal(CRS)	float	64000	64000	0.0119744	0.432924	3.46339
mscal(CRS)	float	128000	128000	0.0224256	0.462328	3.69862
mscal(CRS)	float	256000	256000	0.0437532	0.473931	3.79144
mscal(CRS)	float	512000	512000	0.086926	0.477095	3.81676
mscal(CRS)	double	1000	1000	0.000985463	0.0821949	1.31512
mscal(CRS)	double	2000	2000	0.00121204	0.133659	2.13855
mscal(CRS)	double	4000	4000	0.00170083	0.190496	3.04793
mscal(CRS)	double	8000	8000	0.00255975	0.253149	4.05039
mscal(CRS)	double	16000	16000	0.00430387	0.301124	4.81799
mscal(CRS)	double	32000	32000	0.00770019	0.336615	5.38584
mscal(CRS)	double	64000	64000	0.0147153	0.352287	5.63659
mscal(CRS)	double	128000	128000	0.0286506	0.361877	5.79003
mscal(CRS)	double	256000	256000	0.0568738	0.364597	5.83354
mscal(CRS)	double	512000	512000	0.112436	0.36885	5.9016
