func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.000622624	0.130095	1.04076
mscal(CRS)	float	2000	2000	2.63223e-05	6.15448	49.2358
mscal(CRS)	float	4000	4000	3.87389e-05	8.36369	66.9095
mscal(CRS)	float	8000	8000	7.05288e-05	9.18774	73.5019
mscal(CRS)	float	16000	16000	0.000142214	9.11299	72.904
mscal(CRS)	float	32000	32000	0.000255363	10.1503	81.2021
mscal(CRS)	float	64000	64000	0.00119478	4.33886	34.7109
mscal(CRS)	double	1000	1000	2.95994e-05	2.73654	43.7847
mscal(CRS)	double	2000	2000	4.07545e-05	3.97502	63.6003
mscal(CRS)	double	4000	4000	6.73656e-05	4.80958	76.9532
mscal(CRS)	double	8000	8000	0.000139858	4.63328	74.1324
mscal(CRS)	double	16000	16000	0.000267917	4.83732	77.3971
mscal(CRS)	double	32000	32000	0.00129819	1.99662	31.9459
mscal(CRS)	double	64000	64000	0.00953181	0.543863	8.70181
